ag0000013730.fit 2022-10-29 22:15:38.106 PLATE_A 696.800  779.000  734.300  366.900  845.000  577.000  301.000  655.700  547.800  563.200  325.500  426.100  548.000  305.000  467.700  815.100 
ag0000013736.fit 2022-10-29 22:24:21.482 PLATE_A 708.300  772.800  745.600  360.800  845.000  577.000  312.600  649.600  559.300  557.000  337.000  420.000  548.000  305.000  479.400  809.000 
ag0000013773.fit 2022-10-30 20:26:47.605 PLATE_B 724.200  802.200  967.700  470.700  454.700  483.500  452.000  704.200  821.500  294.200  594.500  301.400  926.700  699.400  713.700  539.200 
ag0000013780.fit 2022-10-30 21:15:06.406 PLATE_A 700.300  774.600  738.100  362.100  845.000  577.000  304.600  651.200  551.400  558.600  329.100  421.500  548.000  305.000  471.300  810.700 
ag0000013788.fit 2022-10-30 23:36:02.534 PLATE_A 707.900  773.100  745.400  360.800  845.000  577.000  312.100  649.800  558.900  557.200  336.500  420.100  548.000  305.000  478.900  809.300 
ag0000013789.fit 2022-10-30 23:36:29.780 PLATE_A 714.500  773.600  746.600  387.000  845.000  577.000  316.500  658.300  561.200  560.400  335.200  428.400  548.000  305.000  486.600  814.100 
ag0000013792.fit 2022-10-31 00:00:08.465 PLATE_B 725.800  800.200  965.200  465.400  451.800  485.100  452.000  704.200  816.600  290.700  589.000  300.900  927.100  694.300  711.800  536.900 
ag0000013795.fit 2022-10-31 00:28:26.135 PLATE_A 730.000  766.000  733.000  353.000  845.000  577.000  326.000  764.000  562.000  563.000  332.000  445.000  548.000  305.000  505.000  819.000 
ag0000013796.fit 2022-10-31 00:29:15.027 PLATE_A 730.000  766.000  733.000  353.000  845.000  577.000  326.000  674.000  562.000  563.000  332.000  445.000  548.000  305.000  505.000  819.000 
ag0000013827.fit 2022-10-31 11:15:14.288 PLATE_A 728.600  766.500  734.100  352.800  845.000  577.000  324.600  674.300  563.300  562.900  331.400  443.400  548.000  305.000  503.100  820.300 
ag0000013828.fit 2022-10-31 20:06:25.310 PLATE_B 762.800  795.800  953.200  430.700  447.300  521.900  452.000  704.200  781.500  278.300  557.500  320.100  947.300  662.800  712.000  536.700 
ag0000013830.fit 2022-10-31 20:07:18.394 PLATE_B 757.200  799.100  957.000  439.600  449.800  516.600  452.000  704.200  760.800  226.000  565.600  318.500  945.200  671.700  713.500  539.500 
ag0000013832.fit 2022-10-31 20:40:36.788 PLATE_B 757.000  799.100  956.900  440.000  449.800  516.700  452.000  704.200  790.000  283.000  565.600  318.600  945.000  671.800  713.500  539.500 
ag0000013834.fit 2022-10-31 22:05:14.502 PLATE_A 721.000  762.000  726.500  348.300  845.000  577.000  317.000  669.800  555.900  558.400  323.800  438.800  548.000  305.000  495.500  815.800 
ag0000013865.fit 2022-11-02 23:15:12.238 PLATE_B 741.400  799.200  941.400  440.100  434.300  516.700  452.000  704.200  774.500  283.200  550.000  318.800  929.400  671.900  698.100  539.600 
ag0000013921.fit 2022-11-03 21:13:05.158 PLATE_A 715.200  768.800  720.500  355.100  845.000  577.000  311.000  676.600  549.800  565.200  317.800  445.700  548.000  305.000  489.600  822.600 
ag0000013922.fit 2022-11-03 21:35:42.158 PLATE_A 723.500  761.100  729.000  347.400  845.000  577.000  319.400  668.900  558.200  557.500  326.200  438.000  548.000  305.000  498.000  814.900 
ag0000013943.fit 2022-11-04 20:26:58.175 PLATE_A 715.500  768.200  721.000  354.500  845.000  577.000  311.400  676.000  550.200  564.600  318.200  445.100  548.000  305.000  490.000  822.000 
ag0000013974.fit 2022-11-06 00:46:34.995 PLATE_A 728.800  772.200  734.300  358.400  845.000  577.000  324.700  679.800  563.500  568.400  331.400  448.900  548.000  305.000  503.300  825.900 
ag0000013975.fit 2022-11-06 21:17:34.071 PLATE_A 723.800  765.900  729.300  352.100  845.000  577.000  319.700  673.500  558.700  561.400  326.400  442.600  548.000  305.000  498.300  819.700 
